"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","636","Set supplier for Item","chromium","2026-03-07","passed","2026-03-07","Create item @item @api-clients","specs/api/item.spec.ts","",""
"","777","A new User with role Inventory","chromium","2026-03-07","passed","2026-03-07","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","1611","A new User with role Manufacturing","chromium","2026-03-07","passed","2026-03-07","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","1336","A new User with role Sales","chromium","2026-03-07","passed","2026-03-07","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","2344","Check company presence and run set up if there is no company","chromium","2026-03-07","passed","2026-03-07","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","1","Delivery Note → Sales Invoice → Payment Entry","chromium","2026-03-07","skipped","2026-03-07","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","1195","Create new Customer","chromium","2026-03-07","passed","2026-03-07","Create Customer @customer @api-clients","specs/api/customer.spec.ts","",""
"","7255","Log in as new random User via LogInUtils","chromium","2026-03-07","passed","2026-03-07","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","34951","Quotation → Sales Order","chromium","2026-03-07","passed","2026-03-07","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","1438","A new User with role Accounts","chromium","2026-03-07","passed","2026-03-07","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","3787","Log in as ABOBA_BOBA and store sessionContext","chromium","2026-03-07","passed","2026-03-07","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","1818","Create new Item","chromium","2026-03-07","passed","2026-03-07","Create item @item @api-clients","specs/api/item.spec.ts","",""
"","781","Create new Supplier","chromium","2026-03-07","passed","2026-03-07","Create Supplier @supplier @api-clients","specs/api/supplier.spec.ts","",""
"","1915","A new User with role Purchase","chromium","2026-03-07","passed","2026-03-07","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","121111","Procurement","chromium","2026-03-07","broken","2026-03-07","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","2545","Log in as ABOBA_BOBA via LogInUtils & storageState","chromium","2026-03-07","passed","2026-03-07","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
