"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1394","A new User with role Inventory","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","290","Set supplier for Item","chromium","2026-01-20","passed","2026-01-20","Create item @item @api","specs/api/item.spec.ts","",""
"","633","Create new Supplier","chromium","2026-01-20","passed","2026-01-20","Create Supplier @supplier @api","specs/api/supplier.spec.ts","",""
"","1290","Create new Customer","chromium","2026-01-20","passed","2026-01-20","Create Customer @customer @api","specs/api/customer.spec.ts","",""
"","2550","A new User with role Accounts","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","634","Create new Item","chromium","2026-01-20","passed","2026-01-20","Create item @item @api","specs/api/item.spec.ts","",""
"","1826","A new User with role Sales","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","3605","Log in as ABOBA_BOBA and store sessionContext","chromium","2026-01-20","passed","2026-01-20","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","4157","Log in as new random User via LogInUtils","chromium","2026-01-20","passed","2026-01-20","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","2081","Check company presence and run set up if there is no company","chromium","2026-01-20","passed","2026-01-20","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","1696","A new User with role Manufacturing","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","2163","Log in as ABOBA_BOBA via LogInUtils & storageState","chromium","2026-01-20","passed","2026-01-20","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","2151","A new User with role Purchase","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
