"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6712","Log in as new random User via LogInUtils","chromium","2026-03-08","passed","2026-03-08","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","2205","A new User with role Accounts","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","789","Create new Supplier","chromium","2026-03-08","passed","2026-03-08","Create Supplier @supplier @api-clients","specs/api/supplier.spec.ts","",""
"","2668","Log in as ABOBA_BOBA via LogInUtils & storageState","chromium","2026-03-08","passed","2026-03-08","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","1245","Create new Customer","chromium","2026-03-08","passed","2026-03-08","Create Customer @customer @api-clients","specs/api/customer.spec.ts","",""
"","1858","A new User with role Sales","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","1147","Create new Item","chromium","2026-03-08","passed","2026-03-08","Create item @item @api-clients","specs/api/item.spec.ts","",""
"","120343","Delivery Note → Sales Invoice → Payment Entry","chromium","2026-03-08","broken","2026-03-08","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","31981","Quotation → Sales Order","chromium","2026-03-08","passed","2026-03-08","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","1597","A new User with role Purchase","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","4093","Log in as ABOBA_BOBA and store sessionContext","chromium","2026-03-08","passed","2026-03-08","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","2025","Check company presence and run set up if there is no company","chromium","2026-03-08","passed","2026-03-08","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","1464","A new User with role Manufacturing","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","1112","A new User with role Inventory","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","947","Set supplier for Item","chromium","2026-03-08","passed","2026-03-08","Create item @item @api-clients","specs/api/item.spec.ts","",""
"","62050","Procurement","chromium","2026-03-08","passed","2026-03-08","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
