"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1509","A new User with role Inventory","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","28949","Quotation → Sales Order","chromium","2026-03-08","passed","2026-03-08","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","2264","A new User with role Accounts","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","770","Create new Supplier","chromium","2026-03-08","passed","2026-03-08","Create Supplier @supplier @api-clients","specs/api/supplier.spec.ts","",""
"","7338","Log in as new random User via LogInUtils","chromium","2026-03-08","passed","2026-03-08","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","1261","Create new Item","chromium","2026-03-08","passed","2026-03-08","Create item @item @api-clients","specs/api/item.spec.ts","",""
"","23653","Delivery Note → Sales Invoice → Payment Entry","chromium","2026-03-08","passed","2026-03-08","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","1497","A new User with role Purchase","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","26874","Procurement","chromium","2026-03-08","passed","2026-03-08","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","3823","Log in as ABOBA_BOBA and store sessionContext","chromium","2026-03-08","passed","2026-03-08","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","1686","A new User with role Sales","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","1308","Create new Customer","chromium","2026-03-08","passed","2026-03-08","Create Customer @customer @api-clients","specs/api/customer.spec.ts","",""
"","1163","Set supplier for Item","chromium","2026-03-08","passed","2026-03-08","Create item @item @api-clients","specs/api/item.spec.ts","",""
"","2384","Check company presence and run set up if there is no company","chromium","2026-03-08","passed","2026-03-08","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","2574","Log in as ABOBA_BOBA via LogInUtils & storageState","chromium","2026-03-08","passed","2026-03-08","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","2065","A new User with role Manufacturing","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
