"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","629","Create new Supplier","chromium","2026-01-14","passed","2026-01-14","Create Supplier @supplier @api","specs/api/supplier.spec.ts","",""
"","2078","Check company presence and run set up if there is no company","chromium","2026-01-14","passed","2026-01-14","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","1495","A new User with role Purchase","chromium","2026-01-14","passed","2026-01-14","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","486","Create new Item","chromium","2026-01-14","passed","2026-01-14","Create item @item @api","specs/api/item.spec.ts","",""
"","1191","A new User with role Inventory","chromium","2026-01-14","passed","2026-01-14","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1313","Create new Customer","chromium","2026-01-14","passed","2026-01-14","Create Customer @customer @api","specs/api/customer.spec.ts","",""
"","1268","A new User with role Manufacturing","chromium","2026-01-14","passed","2026-01-14","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","239","Set supplier for Item","chromium","2026-01-14","passed","2026-01-14","Create item @item @api","specs/api/item.spec.ts","",""
"","1978","A new User with role Accounts","chromium","2026-01-14","passed","2026-01-14","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1135","A new User with role Sales","chromium","2026-01-14","passed","2026-01-14","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
