"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2308","Log in as ABOBA_BOBA via LogInUtils & storageState","chromium","2026-01-17","passed","2026-01-17","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","4814","Log in as new random User via LogInUtils","chromium","2026-01-17","passed","2026-01-17","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","2229","Check company presence and run set up if there is no company","chromium","2026-01-17","passed","2026-01-17","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","4066","Log in as ABOBA_BOBA and store sessionContext","chromium","2026-01-17","passed","2026-01-17","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
