"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","744","Create new Supplier","chromium","2026-01-18","passed","2026-01-18","Create Supplier @supplier @api","specs/api/supplier.spec.ts","",""
"","26432","Delivery Note → Sales Invoice → Payment Entry","chromium","2026-01-18","passed","2026-01-18","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","2715","Check company presence and run set up if there is no company","chromium","2026-01-18","passed","2026-01-18","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","1486","Create new Customer","chromium","2026-01-18","passed","2026-01-18","Create Customer @customer @api","specs/api/customer.spec.ts","",""
"","1249","Set supplier for Item","chromium","2026-01-18","passed","2026-01-18","Create item @item @api","specs/api/item.spec.ts","",""
"","7204","Log in as new random User via LogInUtils","chromium","2026-01-18","passed","2026-01-18","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","1327","A new User with role Inventory","chromium","2026-01-18","passed","2026-01-18","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","2331","A new User with role Accounts","chromium","2026-01-18","passed","2026-01-18","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","2298","Create new Item","chromium","2026-01-18","passed","2026-01-18","Create item @item @api","specs/api/item.spec.ts","",""
"","28618","Procurement","chromium","2026-01-18","passed","2026-01-18","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","1620","A new User with role Sales","chromium","2026-01-18","passed","2026-01-18","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1493","A new User with role Manufacturing","chromium","2026-01-18","passed","2026-01-18","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","2598","Log in as ABOBA_BOBA via LogInUtils & storageState","chromium","2026-01-18","passed","2026-01-18","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","3781","Log in as ABOBA_BOBA and store sessionContext","chromium","2026-01-18","passed","2026-01-18","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","1900","A new User with role Purchase","chromium","2026-01-18","passed","2026-01-18","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","36865","Quotation → Sales Order","chromium","2026-01-18","passed","2026-01-18","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
