"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28263","Procurement","chromium","2026-01-20","passed","2026-01-20","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","987","Create new Customer","chromium","2026-01-20","passed","2026-01-20","Create Customer @customer @api","specs/api/customer.spec.ts","",""
"","28471","Quotation → Sales Order","chromium","2026-01-20","passed","2026-01-20","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","1365","A new User with role Sales","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1261","A new User with role Manufacturing","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1539","A new User with role Purchase","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1782","A new User with role Accounts","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","25794","Delivery Note → Sales Invoice → Payment Entry","chromium","2026-01-20","passed","2026-01-20","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","325","Set supplier for Item","chromium","2026-01-20","passed","2026-01-20","Create item @item @api","specs/api/item.spec.ts","",""
"","1984","Check company presence and run set up if there is no company","chromium","2026-01-20","passed","2026-01-20","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","720","A new User with role Inventory","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","857","Create new Item","chromium","2026-01-20","passed","2026-01-20","Create item @item @api","specs/api/item.spec.ts","",""
"","683","Create new Supplier","chromium","2026-01-20","passed","2026-01-20","Create Supplier @supplier @api","specs/api/supplier.spec.ts","",""
