"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3276","Log in as ABOBA_BOBA and store sessionContext","chromium","2026-03-08","passed","2026-03-08","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","979","A new User with role Sales","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","896","Create new Customer","chromium","2026-03-08","passed","2026-03-08","Create Customer @customer @api-clients","specs/api/customer.spec.ts","",""
"","1394","A new User with role Manufacturing","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","1831","Check company presence and run set up if there is no company","chromium","2026-03-08","passed","2026-03-08","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","1564","A new User with role Purchase","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","1097","A new User with role Accounts","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","1743","Create new Item","chromium","2026-03-08","passed","2026-03-08","Create item @item @api-clients","specs/api/item.spec.ts","",""
"","2169","Log in as ABOBA_BOBA via LogInUtils & storageState","chromium","2026-03-08","passed","2026-03-08","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","23360","Delivery Note → Sales Invoice → Payment Entry","chromium","2026-03-08","passed","2026-03-08","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","699","Set supplier for Item","chromium","2026-03-08","passed","2026-03-08","Create item @item @api-clients","specs/api/item.spec.ts","",""
"","26173","Procurement","chromium","2026-03-08","passed","2026-03-08","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","24841","Quotation → Sales Order","chromium","2026-03-08","passed","2026-03-08","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","1030","A new User with role Inventory","chromium","2026-03-08","passed","2026-03-08","Create new users with different roles: @sanity @api-clients","specs/api/create.user.spec.ts","",""
"","641","Create new Supplier","chromium","2026-03-08","passed","2026-03-08","Create Supplier @supplier @api-clients","specs/api/supplier.spec.ts","",""
"","5210","Log in as new random User via LogInUtils","chromium","2026-03-08","passed","2026-03-08","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
