"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2905","Log in as ABOBA_BOBA via LogInUtils & storageState","chromium","2026-01-20","passed","2026-01-20","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","4813","Log in as new random User via LogInUtils","chromium","2026-01-20","passed","2026-01-20","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","1120","Create new Customer","chromium","2026-01-20","passed","2026-01-20","Create Customer @customer @api","specs/api/customer.spec.ts","",""
"","1512","A new User with role Sales","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","2223","A new User with role Accounts","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1279","A new User with role Inventory","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","2015","A new User with role Manufacturing","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","945","Create new Item","chromium","2026-01-20","passed","2026-01-20","Create item @item @api","specs/api/item.spec.ts","",""
"","2148","Check company presence and run set up if there is no company","chromium","2026-01-20","passed","2026-01-20","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","1688","A new User with role Purchase","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","4020","Log in as ABOBA_BOBA and store sessionContext","chromium","2026-01-20","passed","2026-01-20","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","627","Create new Supplier","chromium","2026-01-20","passed","2026-01-20","Create Supplier @supplier @api","specs/api/supplier.spec.ts","",""
"","380","Set supplier for Item","chromium","2026-01-20","passed","2026-01-20","Create item @item @api","specs/api/item.spec.ts","",""
