"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67402","Quotation → Sales Order","chromium","2026-03-07","passed","2026-03-07","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","6418","Check company presence and run set up if there is no company","chromium","2026-03-07","passed","2026-03-07","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","22174","Procurement","chromium","2026-03-07","failed","2026-03-07","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","2","Delivery Note → Sales Invoice → Payment Entry","chromium","2026-03-07","skipped","2026-03-07","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
