"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1460","A new User with role Accounts","chromium","2026-01-18","passed","2026-01-18","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","258","Set supplier for Item","chromium","2026-01-18","passed","2026-01-18","Create item @item @api","specs/api/item.spec.ts","",""
"","1305","Create new Customer","chromium","2026-01-18","passed","2026-01-18","Create Customer @customer @api","specs/api/customer.spec.ts","",""
"","666","Create new Supplier","chromium","2026-01-18","passed","2026-01-18","Create Supplier @supplier @api","specs/api/supplier.spec.ts","",""
"","1321","A new User with role Purchase","chromium","2026-01-18","passed","2026-01-18","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","447","Create new Item","chromium","2026-01-18","passed","2026-01-18","Create item @item @api","specs/api/item.spec.ts","",""
"","2251","Check company presence and run set up if there is no company","chromium","2026-01-18","passed","2026-01-18","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","2257","A new User with role Sales","chromium","2026-01-18","passed","2026-01-18","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1385","A new User with role Inventory","chromium","2026-01-18","passed","2026-01-18","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1800","A new User with role Manufacturing","chromium","2026-01-18","passed","2026-01-18","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
