"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2141","A new User with role Sales","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1392","A new User with role Inventory","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1519","Check company presence and run set up if there is no company","chromium","2026-01-20","passed","2026-01-20","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","737","Create new Supplier","chromium","2026-01-20","passed","2026-01-20","Create Supplier @supplier @api","specs/api/supplier.spec.ts","",""
"","1415","A new User with role Manufacturing","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","259","Set supplier for Item","chromium","2026-01-20","passed","2026-01-20","Create item @item @api","specs/api/item.spec.ts","",""
"","1224","Create new Customer","chromium","2026-01-20","passed","2026-01-20","Create Customer @customer @api","specs/api/customer.spec.ts","",""
"","1566","A new User with role Purchase","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1924","A new User with role Accounts","chromium","2026-01-20","passed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","523","Create new Item","chromium","2026-01-20","passed","2026-01-20","Create item @item @api","specs/api/item.spec.ts","",""
