"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24781","Delivery Note → Sales Invoice → Payment Entry","chromium","2026-01-28","passed","2026-01-28","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","2645","Check company presence and run set up if there is no company","chromium","2026-01-28","passed","2026-01-28","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","23602","Procurement","chromium","2026-01-28","passed","2026-01-28","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","28765","Quotation → Sales Order","chromium","2026-01-28","passed","2026-01-28","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
